rainfall_mm,water_level,elevation_risk,drainage_capacity,historical_floods,population_exposure,risk_level,risk_score
141.57252825451377,60.977858572868016,61.66228443922597,34.38102214781294,6,71.3635053081687,MEDIUM,65.54057949435456
84.6093347578489,59.58178916413626,80.26572953118823,21.052124576521756,5,28.108404831328553,MEDIUM,66.33535658744029
155.96164638493502,84.56922323549072,76.54196099394842,52.60277635076948,1,44.57872028840436,HIGH,70.30289674171664
128.55256494009188,73.947949456841,89.79144200553328,28.704107240511664,2,23.18850753042988,MEDIUM,67.76055420782525
26.01014914090042,12.391998849756252,81.54840634251863,89.52182282284217,5,59.74759396652228,LOW,34.34015171165467
175.8557997782485,14.451322343141412,28.490372892547224,10.340268807636223,0,75.64154004569257,MEDIUM,60.41089850022736
139.39374933836,64.14026072104141,57.80835346319731,22.171722708165333,3,41.91900184507282,MEDIUM,67.9175341209118
143.63093189708215,53.7572868060048,33.2541361138901,30.950447512091277,5,24.707491978623665,MEDIUM,63.75980171804933
31.779317554842798,33.41661898086923,36.32961105739273,26.91132048542158,5,30.3855023738058,MEDIUM,39.43556445776586
86.56560944224641,47.67904785833215,93.53471507684965,29.191167109275376,9,83.63016266730153,MEDIUM,64.72824139274952
73.03566411953881,78.21192868595745,69.78011098137199,65.76404643020017,11,34.088386155386715,MEDIUM,63.4071666538121
167.55004810426232,84.3950336192137,97.58608925885505,37.83852665661769,8,79.72323337101044,HIGH,83.04758693940423
119.45707041371297,60.510076110103974,44.606690988280725,62.27707246178673,0,39.80794661255899,MEDIUM,49.56968686455
149.8694742560411,44.68325327713927,56.05656946862777,85.67192435993475,4,26.98592989086663,MEDIUM,58.346203319502436
85.3804138006463,34.36270853455963,51.27596489206006,61.21732506968467,8,75.4577703664688,MEDIUM,55.2866971777439
48.630582703412074,56.972662369232815,15.192270464754056,69.03528725934243,7,52.169052652768606,LOW,37.722182154957416
104.27941379269191,38.32746567079429,27.486689480027316,41.06778034881537,5,12.814952614732576,MEDIUM,41.14157560358014
20.848933537709804,60.76856233425006,55.12545425742581,23.577769747930276,5,96.39481774099588,MEDIUM,57.72789638939377
150.69729923873896,70.89871442586738,11.400558987635593,37.24964530824202,4,23.297810056489666,MEDIUM,60.72600294174258
117.38294785075102,15.947128982745536,93.48888328434448,91.96402513984918,6,41.80662788077822,MEDIUM,46.76063822786736
138.87491581451354,10.09607185204725,16.765149784620228,62.85396767851665,2,44.63151714961366,LOW,35.27553562651812
70.26941458207762,29.104942495666865,23.808170909606176,33.58844515189129,6,54.0486909332572,MEDIUM,42.23418210069629
175.01866414713356,90.5060347946903,77.70551627417048,48.327797708778824,2,80.68996201007536,HIGH,77.25973128590613
161.8305906247736,68.16616869057032,14.208781469984803,81.01860818163452,8,10.54812517076141,MEDIUM,49.48205094162394
142.32519450253952,25.476431674332055,90.5264194634639,66.81770350999075,10,93.92248462024672,MEDIUM,62.336958725742235
43.08858033483449,90.12375656412569,73.94159221864088,57.655491461979295,6,68.13905141827101,MEDIUM,58.37824665398217
89.34257063359581,52.2960346258606,11.518981425341597,85.23884451387649,4,95.5583991234042,MEDIUM,39.11457941927679
17.44664018382889,52.84825810107946,70.72547082213703,67.15736363842717,11,83.56505836748372,MEDIUM,50.93762414801739
36.229213651483136,94.19877494583896,65.00471150627519,64.63202711724311,7,93.50543962748952,MEDIUM,63.63496908484812
126.11832205121729,15.353802296500602,76.94819611029227,26.13029166291529,5,64.09004958421102,MEDIUM,60.19708936173535
136.6095665043289,29.366044716584668,83.6787959864869,19.043038056054662,0,42.15780845894574,MEDIUM,56.16605017431036
174.4766545138157,62.71941926392502,73.24330350144973,92.03707994987892,0,49.86226568022433,MEDIUM,62.61243753666474
65.39031088348582,27.59378586238037,60.68674805074233,60.90296145852998,2,69.22290793457016,MEDIUM,39.9333719082711
72.9781500259277,71.15743082880621,35.63401526526888,45.333089777446474,2,48.423867378970264,MEDIUM,42.212741119963496
89.82448791688735,29.268306040304818,71.24099787384327,60.06676977736849,8,75.85055051210102,MEDIUM,53.343650459835416
42.21013104432857,18.92412735389329,95.91230053992405,15.254016691095806,6,18.266321447202664,MEDIUM,46.159840831496076
32.08665590703018,28.628664367675576,60.81456915024305,79.88081828184907,11,84.69879840863999,MEDIUM,51.99654183328753
90.86983745840874,48.0460630844856,68.11276250125411,28.414870522968556,6,28.376977567780376,MEDIUM,61.550166628223636
48.5745893386503,25.85244692557719,46.52716400898107,78.3864105370255,10,94.95528485722502,MEDIUM,42.47066092762202
123.86837909602676,22.12228224310126,76.83147692559207,55.422167677406904,6,23.999121994354113,MEDIUM,50.70209917087819
84.31582620829623,87.42536975970468,99.77840227217041,33.50862116083674,4,21.624777649215805,MEDIUM,66.32214150287803
151.55529332983235,38.835748323757706,20.23698578643493,12.567845600575989,8,83.06884995286535,MEDIUM,56.629687821548735
129.04506734038233,42.46828178664283,24.22850155285742,79.34583520276149,5,83.68316449327129,LOW,38.48810752052889
